"ItemNo","ItemDescr","ColourLikeDescr","ColourDescr","MaingroupDescr","Price","DesignId"
4258349,"WALL ELEMENT 1X2X3","Yellow","BR.YEL","Bricks, Special","-1.00",2362
237626,"ROUND PLATE 2X2 W/EYE","Black","BLACK","Bricks, Special","-1.00",2376
4222123,"ROUND PLATE 2X2 W/EYE","Red","BR.RED","Bricks, Special","-1.00",2376
4140522,"WALL ELEMENT 1X2X2 W. WINDOW","Red","BR.RED","Bricks, Special","-1.00",2377
4222885,"WALL ELEMENT 1X2X2 W. WINDOW","Grey","MED. ST-GREY","Bricks, Special","-1.00",2377
4264098,"WALL ELEMENT 1X2X2 W. WINDOW","","BR.ORANGE","Bricks, Special","-1.00",2377
4271073,"WALL ELEMENT 1X2X2 W. WINDOW","Yellow","BR.YEL","Bricks, Special","-1.00",2377
4267038,"THILL FOR GIG","Red","NEW DARK RED","Bricks, Special","-1.00",2397
4268684,"THILL FOR GIG","Grey","DK. ST. GREY","Bricks, Special","0.54",2397
6027996,"THILL FOR GIG","Black","BLACK","Bricks, Special","0.54",2397
6135358,"THILL FOR GIG","Purple","BR.RED-VIOL.","Bricks, Special","0.62",2397
6181583,"THILL FOR GIG","Red","BR.RED","Bricks, Special","-1.00",2397
4161048,"GATE 5X9","Black","BLACK","Bricks, Special","-1.00",2400
4297086,"CORNER PLATE 10X10","Yellow","BR.YEL","Bricks, Special","-1.00",2401
241201,"RADIATOR GRILLE 1X2","White","WHITE","Plates","-1.00",2412
241202,"RADIATOR GRILLE 1X2","Grey","GREY","Plates","-1.00",2412
241221,"RADIATOR GRILLE 1X2","Red","BR.RED","Plates","0.06",2412
241223,"RADIATOR GRILLE 1X2","Blue","BR.BLUE","Plates","0.06",2412
241224,"RADIATOR GRILLE 1X2","Yellow","BR.YEL","Plates","0.06",2412
241226,"RADIATOR GRILLE 1X2","Black","BLACK","Plates","0.06",2412
4124056,"RADIATOR GRILLE 1X2","Grey","DK.GREY","Plates","-1.00",2412
4124456,"RADIATOR GRILLE 1X2","","BRICK-YEL","Plates","0.06",2412
4125254,"RADIATOR GRILLE 1X2","","BR.ORANGE","Plates","0.07",2412
4141999,"RADIATOR GRILLE 1X2","","DK.GREEN","Plates","-1.00",2412
4143269,"RADIATOR GRILLE 1X2","Blue","SAND BLUE","Plates","-1.00",2412
4162204,"RADIATOR GRILLE 1X2","Red","NEW DARK RED","Plates","-1.00",2412
4163471,"RADIATOR GRILLE 1X2","","SAND GREEN","Plates","-1.00",2412
4171075,"RADIATOR GRILLE 1X2","Blue","MD.BLUE","Plates","-1.00",2412
