"replacementBrickService","Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price","pickABrickService"
true,"Bricks","Yellow","14639","6086771","BR.YEL","DUPLO CHASSIS 2X6","£1.96",
true,"Bricks",,"14639","6146334","RED. BROWN","DUPLO CHASSIS 2X6","£2.75",
true,"Bricks",,"14639","6172440","BR.ORANGE","DUPLO CHASSIS 2X6","£2.11",
true,"Bricks","Blue","14639","6172442","MEDIUM AZUR","DUPLO CHASSIS 2X6","£2.04",
true,"Bricks",,"14639","6172445","BR.YEL-GREEN","DUPLO CHASSIS 2X6","£2.06",
true,"Bricks, Special Circles And Angles","Blue","14653","6042680","BR.BLUE","PNEUMATIC TUBE M5",,
true,"Bricks, Special Circles And Angles","Blue","14657","6042683","BR.BLUE","PNEUMATIC TUBE M7",,
true,"Bricks, Special Circles And Angles","Grey","14658","6042690","MED. ST-GREY","PNEUMATIC TUBE M17",,
true,"Bricks, Special Circles And Angles","Black","14658","6042691","BLACK","PNEUMATIC TUBE M17",,
true,"Bricks, Special Circles And Angles","Black","14660","6042693","BLACK","PNEUMATIC TUBE M37",,
true,"Bricks, Special Circles And Angles","Grey","14661","6042696","MED. ST-GREY","PNEUMATIC TUBE M39",,
true,"Bricks, Special","Purple","14671","6042912","L.NOUGAT","MINI HEAD NO. ""1260""",,
true,"Bricks, Special","Grey","14682","6044706","MED. ST-GREY","EXHAUST PIPE M/SNAP","£0.35",
true,"Bricks, Special",,"14682","6109580","W.GOLD","EXHAUST PIPE M/SNAP","£0.37",
true,"Bricks, Special","White","14685","6043100","WHITE GLOW","MINI HEAD NO. 1263",,
true,"Bricks, Special Circles And Angles","Black","14696","6044702","BLACK","CHAIN LINK M=1","£0.08",
true,"Plates, special","Grey","14704","6043656","[""Medium stone grey"",""MED. ST-GREY""]","PLATE 1X2 BALL CUP / FRICTION MIDDLE","[""£0.17"",""£0.18""]",true
true,"Plates, special","Grey","14704","6146792","DK. ST. GREY","PLATE 1X2 BALL CUP / FRICTION MIDDLE","£0.19",
true,"Bricks, Special","White","14707","6044693","WHITE","ARCH 1X12X3",,
true,"Bricks, Special",,"14707","6052759","RED. BROWN","ARCH 1X12X3",,
true,"Bricks","White","14716","6055541","[""White"",""WHITE""]","BRICK 1X1X3","[""£0.13"",""£0.17""]",true
true,"Bricks","Yellow","14716","6056360","COOL YEL.","BRICK 1X1X3",,
true,"Bricks",,"14716","6057517","BRICK-YEL","BRICK 1X1X3","£0.17",
true,"Bricks","Red","14716","6061700","BR.RED","BRICK 1X1X3","£0.20",
true,"Bricks","Grey","14716","6061702","MED. ST-GREY","BRICK 1X1X3","£0.17",
true,"Bricks","Black","14716","6065496","BLACK","BRICK 1X1X3","£0.17",
true,"Bricks",,"14716","6088490","DK. BROWN","BRICK 1X1X3","£0.20",
true,"Bricks","Blue","14716","6149781","MEDIUM AZUR","BRICK 1X1X3","£0.20",
true,"Bricks",,"14716","6173720","M. LILAC","BRICK 1X1X3","£0.18",
true,"Bricks",,"14716","6177699","RED. BROWN","BRICK 1X1X3","£0.17",
true,"Bricks, Special","Red","14718","6049737","BR.RED","WALL ELEMENT 1X4X2","£0.32",
true,"Bricks, Special","Grey","14718","6061675","MED. ST-GREY","WALL ELEMENT 1X4X2","£0.35",
true,"Bricks, Special","White","14718","6079140","WHITE","WALL ELEMENT 1X4X2","£0.31",
true,"Bricks, Special",,"14718","6109829","BR.YEL-GREEN","WALL ELEMENT 1X4X2",,
true,"Bricks, Special","Black","14718","6115117","BLACK","WALL ELEMENT 1X4X2","£0.31",
true,"Bricks, Special",,"14718","6177875","MEDIUM LAVENDER","WALL ELEMENT 1X4X2","£0.36",
true,"Bricks, Special",,"14718","6195544","BRICK-YEL","WALL ELEMENT 1X4X2",,
true,"Bricks, Special","White","14719","6058329","WHITE","FLAT TILE CORNER 1X2X2","£0.08",
true,"Bricks, Special","Grey","14719","6065824","MED. ST-GREY","FLAT TILE CORNER 1X2X2","£0.08",
true,"Bricks, Special","Red","14719","6078641","BR.RED","FLAT TILE CORNER 1X2X2","£0.11",
true,"Bricks, Special","Yellow","14719","6099717","FL. YELL-ORA","FLAT TILE CORNER 1X2X2","£0.11",
true,"Bricks, Special","Blue","14719","6103392","EARTH BLUE","FLAT TILE CORNER 1X2X2","£0.11",
true,"Bricks, Special","Blue","14719","6129747","BR.BLUE","FLAT TILE CORNER 1X2X2","£0.11",
true,"Bricks, Special","Black","14719","6133722","BLACK","FLAT TILE CORNER 1X2X2","£0.08",
true,"Bricks, Special","Blue","14719","6167572","MD.BLUE","FLAT TILE CORNER 1X2X2","£0.11",
true,"Bricks, Special",,"14719","6173057","BRICK-YEL","FLAT TILE CORNER 1X2X2","£0.11",
true,"Bricks, Special","Blue","14719","6185308","MEDIUM AZUR","FLAT TILE CORNER 1X2X2",,
true,"Bricks, Special Circles And Angles","Grey","14720","6055519","MED. ST-GREY","BEAM I -FRAME 3X5 90 DEGR. HOLE Ø4.85","£0.38",
true,"Bricks","Red","14721","6070650","BR.RED","PLATE 4X4","£1.13",
true,"Bricks",,"14721","6070667","BR.GREEN","PLATE 4X4","£1.24",
true,"Bricks","Yellow","14721","6151299","BR.YEL","PLATE 4X4","£1.13",
true,"Bricks, Special","Black","14728","6043668","BLACK","STRING POLY MULTIFILAMENT YARN Ø1,2",,
true,"Bricks, Special",,"14740","6044599","DK. BROWN","UPPER P. STEM 16X12X2 2/3",,
true,"Bricks, Special","White","14740","6061052","WHITE","UPPER P. STEM 16X12X2 2/3",,
true,"Bricks, Special",,"14740","6085209","RED. BROWN","UPPER P. STEM 16X12X2 2/3",,
true,"Plates, special circles and angles","White","14769","6044691","[""White"",""WHITE""]","FLAT TILE 2X2, ROUND","[""£0.07"",""£0.08""]",true
true,"Plates, special circles and angles","Grey","14769","6052200","MED. ST-GREY","FLAT TILE 2X2, ROUND","£0.08",
true,"Plates, special circles and angles",,"14769","6062386","MEDIUM LAVENDER","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles","Red","14769","6066342","BR.RED","FLAT TILE 2X2, ROUND","£0.08",
true,"Plates, special circles and angles",,"14769","6066344","BRICK-YEL","FLAT TILE 2X2, ROUND","£0.08",
true,"Plates, special circles and angles",,"14769","6066345","W.GOLD","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles","Black","14769","6070695","BLACK","FLAT TILE 2X2, ROUND","£0.08",
true,"Plates, special circles and angles",,"14769","6075213","RED. BROWN","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles","Yellow","14769","6078279","BR.YEL","FLAT TILE 2X2, ROUND","£0.08",
true,"Plates, special circles and angles",,"14769","6092766","BR.YEL-GREEN","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles","Purple","14769","6092768","LGH. PURPLE","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles",,"14769","6092770","BR.ORANGE","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles",,"14769","6092771","EARTH GREEN","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles","Blue","14769","6096948","AQUA","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles",,"14769","6097501","M. LILAC","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles",,"14769","6113047","SPR. YELL. GREE","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles","Yellow","14769","6131589","FL. YELL-ORA","FLAT TILE 2X2, ROUND","£0.10",
true,"Plates, special circles and angles","Blue","14769","6133844","BR.BLUE","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles","Blue","14769","6145255","MEDIUM AZUR","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles",,"14769","6151510","OLIVE GREEN","FLAT TILE 2X2, ROUND","£0.11",
true,"Plates, special circles and angles","Purple","14769","6174946","BR. PURPLE","FLAT TILE 2X2, ROUND","£0.11",
true,"Bricks, Special Circles And Angles",,"14770","6044690","4.MULT","FLEX HOSE 19M W/3. 18 STICK CO -INJ.","£0.76",
true,"Bricks, Special Circles And Angles",,"14770","6059315","5.MULTI","FLEXHOSE 19M W/3.18 STICK C.I","£0.80",
true,"Bricks, Special Circles And Angles",,"14770","6195372","6.MULTI","FLEX HOSE 19M W/3. 18 STICK",,
true,"Bricks","Grey","14786","6044021","MED. ST-GREY","DRUM W. STRING AND NOZZLE CONE",,
true,"Bricks, Special","White","14875","6044242","WHITE","FLAT TILE 2X2 NR.""163""",,
true,"Bricks, Special","Yellow","14910","6044587","BR.YEL","MINI HEAD NO. 388","£0.43",
true,"Bricks, special circles and angles","White","14918","6044601","[""White"",""WHITE""]","NOSE CONE 2X2X2","[""£0.17"",""£0.18""]",true
true,"Bricks, special circles and angles","Yellow","14918","6055404","BR.YEL","NOSE CONE 2X2X2","£0.20",
true,"Bricks, special circles and angles","Red","14918","6056297","BR.RED","NOSE CONE 2X2X2",,
true,"Bricks, special circles and angles","Grey","14918","6057616","MED. ST-GREY","NOSE CONE 2X2X2","£0.18",
true,"Bricks, special circles and angles",,"14918","6060830","M. LILAC","NOSE CONE 2X2X2",,
true,"Bricks, special circles and angles",,"14918","6062601","BR.ORANGE","NOSE CONE 2X2X2","£0.22",
true,"Bricks, special circles and angles","Blue","14918","6092663","BR.BLUE","NOSE CONE 2X2X2","£0.20",
true,"Bricks, special circles and angles","Black","14918","6092664","BLACK","NOSE CONE 2X2X2","£0.18",
true,"Bricks, special circles and angles","Grey","14918","6092666","DK. ST. GREY","NOSE CONE 2X2X2","£0.20",
true,"Bricks, special circles and angles","Red","14918","6092668","NEW DARK RED","NOSE CONE 2X2X2",,
true,"Bricks, special circles and angles","Blue","14918","6092670","LGH. ROY. BLUE","NOSE CONE 2X2X2","£0.24",
true,"Bricks, special circles and angles",,"14918","6092672","W.GOLD","NOSE CONE 2X2X2","£0.22",
true,"Bricks, special circles and angles",,"14918","6133548","SILVER MET.","NOSE CONE 2X2X2",,
true,"Bricks, special circles and angles","Blue","14918","6144754","EARTH BLUE","NOSE CONE 2X2X2","£0.22",
true,"Bricks, special circles and angles",,"14918","6189162","DK.GREEN","NOSE CONE 2X2X2",,
true,"Bricks","White","14923","6058967","WHITE","DUPLO TRACTOR TRAILER 5X6X2",,
true,"Bricks, Special Circles And Angles",,"14925","6044636","SILVER MET.","FLEX HOSE 19M W/3. 18 STICK","£0.54",
true,"Bricks, Special Circles And Angles","Red","14925","6055410","BR.RED","FLEX HOSE 19M W/3. 18 STICK",,
true,"Bricks, Special","Yellow","14967","6044880","BR.YEL","MINI HEAD ""NO. 891""","£0.05",
true,"Bricks, Special","Yellow","15009","6044996","BR.YEL","MINI HEAD ""NO. 745""","£9.54",
true,"Bricks, Special Circles And Angles","Grey","15038","6045310","MED. ST-GREY","RIM Ø 56 X 34","£2.00",
true,"Bricks, Special Circles And Angles","Black","15038","6061050","BLACK","RIM Ø 56 X 34","£1.99",
true,"Bricks, Special Circles And Angles","Yellow","15038","6065490","BR.YEL","RIM Ø 56 X 34","£2.08",
true,"Bricks, Special Circles And Angles","Red","15038","6149984","BR.RED","RIM Ø 56 X 34","£2.14",
true,"Bricks, Special","White","15041","6045318","TR.","HALF BALL W DECO ""SNOW""",,
true,"Bricks, Special","White","15044","6045326","WHITE","ROOF TILE 2X2X2/65 DEG ""NO.39""",,
true,"Bricks, Special",,"15064","6051523","DK. BROWN","LEG W Ø3.2 SHAFT 1/2 M","£0.13",
true,"Bricks, Special","Black","15064","6076566","BLACK","LEG W Ø3.2 SHAFT 1/2 M","£0.13",
true,"Bricks, Special",,"15064","6078372","W.GOLD","LEG W Ø3.2 SHAFT 1/2 M",,
true,"Bricks, Special",,"15064","6093626","SILVER MET.","LEG W Ø3.2 SHAFT 1/2 M",,
true,"Bricks, Special",,"15064","6109497","SPR. YELL. GREE","LEG W Ø3.2 SHAFT 1/2 M",,
true,"Bricks, Special",,"15064","6133123","SAND YELLOW","LEG W Ø3.2 SHAFT 1/2 M",,
true,"Bricks, Special","White","15064","6188615","WHITE","LEG W Ø3.2 SHAFT 1/2 M",,
